Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5813.38,81.55
5813.25,81.51
5813.13,81.50
5813.00,81.50
5812.88,81.50
5812.75,81.49
5812.63,81.45
5812.50,81.35
5812.38,81.23
5812.25,81.14
5812.13,81.13
5812.00,81.18
5811.88,81.25
5811.75,81.32
5811.63,81.37
5811.50,81.43
5811.38,81.51
5811.25,81.62
5811.13,81.74
5811.00,81.84
5810.88,81.91
5810.75,81.94
5810.63,81.94
5810.50,81.91
5810.38,81.85
5810.25,81.79
5810.13,81.70
5810.00,81.47
5809.88,80.96
5809.75,80.14
5809.63,79.23
5809.50,78.53
5809.38,78.30
5809.25,78.48
5809.13,78.89
5809.00,79.32
5808.88,79.72
5808.75,80.08
5808.63,80.44
5808.50,80.78
5808.38,81.08
5808.25,81.33
5808.13,81.50
5808.00,81.59
5807.88,81.63
5807.75,81.65
5807.63,81.68
5807.50,81.73
5807.38,81.79
5807.25,81.84
5807.13,81.85
5807.00,81.84
5806.88,81.83
5806.75,81.83
5806.63,81.85
5806.50,81.88
5806.38,81.90
5806.25,81.92
5806.13,81.93
5806.00,81.92
5805.88,81.90
5805.75,81.84
5805.63,81.68
5805.50,81.41
5805.38,81.10
5805.25,80.87
5805.13,80.81
5805.00,80.89
5804.88,81.05
5804.75,81.22
5804.63,81.36
5804.50,81.47
5804.38,81.56
5804.25,81.65
5804.13,81.75
5804.00,81.87
5803.88,81.98
5803.75,82.05
5803.63,82.04
5803.50,82.00
5803.38,81.98
5803.25,82.00
5803.13,82.03
5803.00,82.04
5802.88,82.04
5802.75,82.02
5802.63,81.98
5802.50,81.95
5802.38,81.93
5802.25,81.93
5802.13,81.94
5802.00,81.94
5801.88,81.85
5801.75,81.46
5801.63,80.51
5801.50,78.96
5801.38,77.23
5801.25,75.96
5801.13,75.56
5801.00,75.97
5800.88,76.79
5800.75,77.68
5800.63,78.48
5800.50,79.20
5800.38,79.85
5800.25,80.46
5800.13,80.98
5800.00,81.40
5799.88,81.68
5799.75,81.83
5799.63,81.89
5799.50,81.90
5799.38,81.90
5799.25,81.89
5799.13,81.91
5799.00,81.94
5798.88,81.98
5798.75,82.00
5798.63,82.03
5798.50,82.04
5798.38,82.03
5798.25,82.00
5798.13,81.98
5798.00,81.98
5797.88,82.00
5797.75,82.02
5797.63,81.99
5797.50,81.81
5797.38,81.41
5797.25,80.82
