Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T,
5798.5,82.04,
5798.38,82.03,
5798.25,82,
5798.13,81.98,
5798,81.98,
5797.88,82,
5797.75,82.02,
5797.63,81.99,
5797.5,81.81,
5797.38,81.41,
5797.25,80.82,
5797.13,80.21,
5797,79.84,
5796.88,79.79,
5796.75,79.99,
5796.63,80.28,
5796.5,80.57,
5796.38,80.82,
5796.25,81.05,
5796.13,81.28,
5796,81.51,
5795.88,81.73,
5795.75,81.9,
5795.63,81.99,
5795.5,82.02,
5795.38,82.01,
5795.25,81.98,
5795.13,81.95,
5795,81.94,
5794.88,81.95,
5794.75,82,
5794.63,82.04,
5794.5,82.07,
5794.38,82.09,
5794.25,82.12,
5794.13,82.14,
5794,82.12,
5793.88,82.1,
5793.75,82.08,
5793.63,82.08,
5793.5,82.09,
5793.38,82.09,
5793.25,82.07,
5793.13,82.03,
5793,81.99,
5792.88,81.96,
5792.75,81.94,
5792.63,81.91,
5792.5,81.85,
5792.38,81.7,
5792.25,81.25,
5792.13,80.07,
5792,77.88,
5791.88,74.97,
5791.75,72.29,
5791.63,70.82,
5791.5,70.89,
5791.38,72.07,
5791.25,73.63,
5791.13,75.12,
5791,76.43,
5790.88,77.63,
5790.75,78.75,
5790.63,79.75,
5790.5,80.59,
5790.38,81.19,
5790.25,81.55,
5790.13,81.74,
5790,81.85,
5789.88,81.94,
5789.75,81.99,
5789.63,82.02,
5789.5,82.03,
5789.38,82.04,
5789.25,82.03,
5789.13,82.01,
5789,81.99,
5788.88,81.98,
5788.75,81.96,
5788.63,81.94,
5788.5,81.92,
5788.38,81.91,
5788.25,81.89,
5788.13,81.83,
5788,81.6,
5787.88,81.04,
5787.75,80.06,
5787.63,78.89,
5787.5,77.95,
5787.38,77.58,
5787.25,77.8,
5787.13,78.35,
5787,78.97,
5786.88,79.53,
5786.75,80.03,
5786.63,80.5,
5786.5,80.93,
5786.38,81.3,
5786.25,81.57,
5786.13,81.73,
5786,81.82,
5785.88,81.89,
5785.75,81.94,
5785.63,81.96,
5785.5,81.97,
5785.38,81.99,
5785.25,82.04,
5785.13,82.1,
5785,82.11,
5784.88,82.09,
5784.75,82.03,
5784.63,81.99,
5784.5,81.98,
5784.38,82,
5784.25,82.02,
5784.13,82.03,
5784,82.03,
5783.88,82.04,
5783.75,82.05,
5783.63,82.05,
5783.5,82.06,
5783.38,82.09,
5783.25,82.13,
5783.13,82.14,
5783,82.1,
5782.88,82.06,
5782.75,82.02,
5782.63,82,
5782.5,81.98,
5782.38,81.95,
5782.25,81.91,
5782.13,81.85,
5782,81.79,
5781.88,81.77,
5781.75,81.74,
5781.63,81.64,
5781.5,81.33,
5781.38,80.45,
5781.25,78.45,
5781.13,75.04,
5781,70.74,
5780.88,66.92,
5780.75,64.92,
5780.63,65.12,
5780.5,66.87,
5780.38,69.14,
5780.25,71.34,
5780.13,73.34,
5780,75.2,
5779.88,76.94,
5779.75,78.49,
5779.63,79.74,
5779.5,80.65,
5779.38,81.24,
5779.25,81.62,
5779.13,81.86,
5779,81.97,
5778.88,81.98,
5778.75,81.93,
5778.63,81.9,
5778.5,81.9,
5778.38,81.93,
5778.25,81.97,
5778.13,82.01,
5778,82.04,
5777.88,82.03,
5777.75,81.98,
5777.63,81.94,
5777.5,81.91,
5777.38,81.86,
5777.25,81.69,
5777.13,81.18,
5777,80.08,
5776.88,78.39,
5776.75,76.53,
5776.63,75.15,
5776.5,74.7,
5776.38,75.13,
5776.25,76.04,
5776.13,77.04,
5776,77.94,
5775.88,78.74,
5775.75,79.47,
5775.63,80.18,
5775.5,80.81,
5775.38,81.33,
5775.25,81.68,
5775.13,81.87,
5775,81.93,
5774.88,81.93,
5774.75,81.9,
5774.63,81.87,
5774.5,81.86,
5774.38,81.87,
5774.25,81.89,
5774.13,81.92,
5774,81.95,
5773.88,81.98,
5773.75,82.01,
5773.63,82.02,
5773.5,82.02,
5773.38,82.03,
5773.25,82.05,
5773.13,82.07,
5773,82.06,
5772.88,82.04,
5772.75,82.01,
5772.63,81.99,
5772.5,81.98,
5772.38,81.97,
5772.25,81.97,
5772.13,81.97,
5772,81.96,
5771.88,81.94,
5771.75,81.93,
5771.63,81.95,
5771.5,81.97,
5771.38,82,
5771.25,82.03,
5771.13,82.04,
